Year,Title,Visitor,Total_Visitor
2017,Jerusalem 1000–1400: Every People Under Heaven,200000,7000000
2017,Age of Empires: Chinese Art of the Qin and Han Dynasties (221 B.C.–A.D. 220),300000,7000000
2017,Rei Kawakubo/Comme des Garçons: Art of the In-Between,275000,7000000
2017,Manus x Machina: Fashion in an Age of Technology,753000,7000000
2017,Unfinished: Thoughts Left Visible,228000,7000000
2016,Ancient Egypt Transformed: The Middle Kingdom,187030,6700000
2016,Sargent: Portraits of Artists and Friends,254750,6700000
2016,Artistic Furniture of the Gilded Age,210900,6700000
2016,Masterpieces of Chinese Painting from The Met Collection,247833,6700000
2016,China: Through the Looking Glass,815992,6700000
2015,Cubism: The Leonard A. Lauder Collection,316095,6300000
2015,Thomas Hart Benton’s America Today Mural Rediscovered,281687,6300000
2015,Charles James: Beyond Fashion,505307,6300000
2015,Death Becomes Her: A Century of Mourning Attire,187417,6300000
2015,Kimono: A Modern History,170214,6300000